Checkpoint,Center X,Center Y,Center Z,Right X,Right Y,Right Z,Track width,True width,Notes
502,-322.95462,30.98972,947.66986,0.32607,-0.01565,0.94521,180,,
503,-284.08688,28.89854,940.98523,0.00189,7e-05,1,180,,
504,-253.80783,28.58582,940.42279,0.02099,0.00211,0.99978,179.344,,
505,-224.03728,28.0023,936.88483,0.07702,0.00753,0.997,177.477,,
506,-195.27171,27.09648,928.37921,0.16269,0.01522,0.98656,174.531,,
507,-168.3757,25.88837,915.16644,0.27056,0.02387,0.96241,170.645,,
508,-143.5827,24.44307,898.03833,0.39268,0.03218,0.91911,165.928,,
509,-121.09739,22.76061,878.20947,0.51847,0.03889,0.85421,160.559,,
510,-100.87106,20.93006,855.99548,0.63921,0.04327,0.76781,154.642,,
511,-83.04433,18.96413,831.73413,0.74651,0.04493,0.66385,148.307,,
512,-67.82665,16.9281,805.90356,0.83397,0.04402,0.55006,141.727,,
513,-55.27448,14.8591,778.65936,0.89945,0.04116,0.43508,135.01,,
514,-45.47255,12.75818,750.21777,0.94378,0.03712,0.32848,128.273,,
515,-38.23326,10.71106,721.04651,0.97017,0.03275,0.24019,121.679,,
516,-32.99252,8.74461,691.40106,0.98486,0.02796,0.17106,115.345,,
517,-29.23498,6.91289,661.5957,0.99299,0.02257,0.11603,109.43,,
518,-26.7312,5.25975,631.67743,0.99713,0.01702,0.07376,104.058,,
519,-25.11897,3.78273,601.58472,0.99902,0.01178,0.04265,99.345,,
520,-24.15968,2.57733,571.57349,0.99974,0.00709,0.02147,95.458,,
521,-23.67764,1.66323,541.48438,0.99996,0.00336,0.00834,92.51,,
522,-23.48986,1.08826,511.56891,1,0.00086,0.00182,90.653,,
523,-23.48818,0.89728,481.46249,1,0,0,90,,
524,-22.82448,0.88356,433.39963,1,0,0,89.161,,
525,-21.01127,0.88476,385.22687,1,0,0,86.881,,
526,-18.40352,0.88539,337.06973,1,0,0,83.52,,
527,-15.20868,0.88534,288.9057,1,0,0,79.439,,
528,-11.7131,0.89924,240.7579,1,0,0,75,,
529,-8.26534,0.88448,192.67276,1,0,0,70.566,,
530,-5.06647,0.88463,144.41774,1,0,0,66.477,,
531,-2.44443,0.88546,96.28016,1,0,0,63.119,,
532,-0.65032,0.89931,47.99944,1,0,0,60.835,,
,,,,,,,,,
,,,,,,,,,
