Checkpoint number,Checkpoint fraction,Ground checkpoint,Contact checkpoint,X,Y,Z
93,0.64161885,105,105,220.134,11.05791,-611.90363
93,0.6508891,105,105,217.33752,8.63655,-619.76172
93,0.66209364,105,105,213.97603,6.35532,-627.39764
93,0.67514294,105,105,210.07635,4.24621,-634.77142
93,0.69002146,105,105,205.64374,2.33603,-641.84674
93,0.70677352,105,105,200.66681,0.67555,-648.5694
93,0.72539079,105,105,195.14854,-0.72298,-654.90747
93,0.74582785,105,105,189.10352,-1.8342,-660.81818
93,0.76800561,105,105,182.5554,-2.66064,-666.27631
93,0.79176885,105,105,175.54857,-3.24892,-671.28876
93,0.81688488,105,105,168.14996,-3.64952,-675.87219
93,0.84312946,105,105,160.4249,-3.89049,-680.03241
93,0.87033659,105,105,152.42207,-3.98642,-683.76501
93,0.8983894,105,105,144.17592,-3.9464,-687.05927
93,0.92719448,105,105,135.71416,-3.77712,-689.90112
93,0.95666647,105,105,127.06209,-3.48439,-692.27527
93,0.98672104,105,105,118.2448,-3.07404,-694.16663
94,0.79409879,105,105,109.28901,-2.55164,-695.56116
96,0.18675455,105,105,100.2159,-1.9306,-696.44861
97,0.41225547,105,105,91.03559,-1.25679,-696.84192
98,0.53304493,105,105,81.74918,-0.62729,-696.80389
99,0.72748309,105,105,72.39471,-0.1085,-696.41888
101,0.09946469,105,105,63.01866,0.30924,-695.711
102,0.78204989,105,105,53.64856,0.63548,-694.68683
105,0.16032144,105,105,44.30578,0.87907,-693.34869
105,1,105,105,35.00829,1.04673,-691.6994
105,1,105,105,25.76947,1.13841,-689.74634
105,1,105,105,16.60106,1.15729,-687.49176
105,1,105,105,7.52234,1.113,-684.94574
105,1,105,105,-1.44835,1.02033,-682.10773
105,1,105,105,-10.2912,0.89599,-678.97644
105,1,105,105,-18.99028,0.75324,-675.54492
105,1,105,105,-27.53078,0.60255,-671.80652
107,0.0083083,105,105,-35.89446,0.45896,-667.75165
107,0.04367276,105,105,-44.05558,0.34451,-663.37537
107,0.07804649,105,105,-51.98837,0.27999,-658.66632
107,0.11133062,105,105,-59.67004,0.27863,-653.61267
107,0.14344428,105,105,-67.08194,0.34439,-648.20728
107,0.17431851,105,105,-74.20815,0.47513,-642.44928
107,0.2038912,105,105,-81.03437,0.66576,-636.34784
107,0.23213406,105,105,-87.55406,0.90113,-629.91913
107,0.25905699,105,105,-93.7695,1.15585,-623.17847
107,0.2846756,105,105,-99.6843,1.40854,-616.15063
107,0.30899942,105,105,-105.30063,1.64631,-608.86823
107,0.33202046,105,105,-110.61662,1.86357,-601.35785
107,0.35371312,105,105,-115.62637,2.0619,-593.64386
107,0.37400591,105,105,-120.31334,2.25504,-585.74292
107,0.39279345,105,105,-124.65318,2.46734,-577.67419
107,0.4099547,105,105,-128.61792,2.72101,-569.44879
107,0.42537463,105,105,-132.18095,3.02716,-561.06781
107,0.43896443,105,105,-135.32176,3.38974,-552.53699
107,0.45056859,105,105,-138.00439,3.83446,-543.86877
107,0.46012023,105,105,-140.21336,4.36005,-535.07648
107,0.46755859,105,105,-141.93459,4.97088,-526.18329
107,0.47280058,105,105,-143.1488,5.66846,-517.20386
107,0.47585112,105,105,-143.85712,6.4437,-508.16486
107,0.47672555,105,105,-144.06297,7.28549,-499.09198
107,0.47543523,105,105,-143.76895,8.18098,-490.00674
107,0.47201321,105,105,-142.9826,9.12011,-480.93527
107,0.46649611,105,105,-141.71236,10.09662,-471.9054
107,0.45891336,105,105,-139.9649,11.10678,-462.9444
107,0.44929168,105,105,-137.74638,12.14836,-454.07901
107,0.43766007,105,105,-135.06343,13.21762,-445.33389
107,0.42406729,105,105,-131.92725,14.30425,-436.72906
107,0.4085581,105,105,-128.34813,15.39606,-428.28064
107,0.39121667,105,105,-124.34547,16.48478,-420.00812
107,0.3721824,105,105,-119.95145,17.54607,-411.91907
107,0.35153937,105,105,-115.18546,18.56739,-404.02368
107,0.32939517,105,105,-110.0723,19.54169,-396.33371
107,0.30586427,105,105,-104.63844,20.4682,-388.86288
107,0.28103727,105,105,-98.90475,21.34952,-381.62521
107,0.25501037,105,105,-92.89346,22.17805,-374.62552
107,0.22783381,105,105,-86.61617,22.96933,-367.88464
107,0.19955233,105,105,-80.08321,23.72319,-361.41183
107,0.17023405,105,105,-73.31032,24.43975,-355.21472
107,0.13995877,105,105,-66.31593,25.10971,-349.29227
107,0.10879388,105,105,-59.11565,25.74713,-343.66013
107,0.07675281,105,105,-51.71257,26.37147,-338.34158
107,0.04387923,105,105,-44.11679,26.97693,-333.33923
107,0.01020414,105,105,-36.3355,27.60806,-328.69492
107,0,105,105,-28.36928,28.24643,-324.40689
107,0,105,105,-20.25915,28.91458,-320.48599
107,0,105,105,-12.02739,29.64604,-316.9635
107,0,105,105,-3.67445,30.46089,-313.87622
107,0,105,105,4.79356,31.37405,-311.25739
107,0,105,105,13.36838,32.39083,-309.13437
107,0,105,105,22.04034,33.50302,-307.52402
107,0,105,105,30.83923,34.51658,-306.29843
106,0.74790198,105,105,39.71103,35.01184,-304.96365
104,0.84757143,105,105,47.76893,35.01376,-302.38541
103,0.1838837,105,105,55.37679,34.3199,-298.70355
101,0.8311249,105,105,62.64184,33.13575,-294.2572
100,0.68367887,105,105,69.58011,31.68979,-289.31528
99,0.68421304,105,105,76.17848,30.13613,-284.026
98,0.80756569,105,105,82.41409,28.566,-278.45343
98,0.03854512,105,105,88.26169,27.03571,-272.62085
97,0.32221216,105,105,93.69821,25.58328,-266.5372
96,0.62361473,105,105,98.7052,24.23998,-260.21396
95,0.94830018,105,105,103.26937,23.0281,-253.66238
95,0.29504418,105,105,107.38274,21.96112,-246.89471
13,0.09518553,105,13,111.04886,20.93494,-239.94759
12,0.9270817,105,13,114.26828,19.97221,-232.86755
12,0.65228724,105,12,117.02977,19.08761,-225.67729
12,0.32901084,105,12,119.31308,18.39724,-218.36462
11,0.93115377,105,12,121.1114,17.8928,-210.93637
11,0.29161346,105,12,122.42883,17.55922,-203.40816
10,0.82971644,105,12,123.275,17.38349,-195.80534
10,0.51318735,105,12,123.65872,17.35569,-188.15549
10,0.16801345,105,12,123.58501,17.46764,-180.48447
9,0.79605883,105,12,123.05634,17.71232,-172.81718
9,0.40179032,105,12,122.07365,18.08274,-165.17761
8,0.98845035,105,12,120.63747,18.57241,-157.5901
8,0.55649137,105,12,118.74869,19.17487,-150.07944
8,0.11745641,105,12,116.40949,19.88418,-142.67143
7,0.6705153,105,12,113.62267,20.6944,-135.39207
7,0.22861364,105,12,110.39281,21.59974,-128.26797
6,0.79448915,105,12,106.72665,22.59507,-121.32651
6,0.37640309,105,12,102.63204,23.67541,-114.59502
5,0.98302531,105,12,98.11644,24.82952,-108.09561
5,0.56263787,105,12,93.14891,25.93015,-101.757
5,0.16517119,105,12,87.81799,26.86669,-95.51623
4,0.33325642,105,12,82.2636,27.56911,-89.32439
3,0.61852741,105,12,76.62236,28.00828,-83.14916
3,0.08254919,105,12,71.02711,28.16112,-76.95301
2,0.70201021,105,12,65.51284,28.0957,-70.77259
2,0.34968027,105,12,60.11629,27.81108,-64.59338
1,0.99957561,105,12,54.81816,27.35732,-58.44823
1,0.79089081,105,12,49.59987,26.75251,-52.34832
1,0.58214867,105,12,44.52626,25.96127,-46.24673
1,0.37316671,105,12,39.6357,24.99931,-40.13814
1,0.16445847,105,12,34.91453,23.891,-34.03755
0,0.95290571,105,12,30.54277,22.59205,-27.85439
0,0.73916209,105,12,26.49166,21.12971,-21.60917
0,0.52493119,105,12,22.65927,19.53444,-15.34955
0,0.3110427,105,12,18.99322,17.82302,-9.09967
0,0.09629878,105,12,15.58177,15.99348,-2.82439
181,0.98771501,105,12,12.55595,14.06354,3.51359
181,0.96543688,105,12,9.9094,12.05299,9.90401
181,0.94309771,105,12,7.53291,9.96276,16.31216
181,0.92083424,105,181,5.30171,7.67484,22.69901
181,0.89869165,105,181,3.21394,5.20794,29.05153
181,0.87673652,105,181,1.23942,2.57599,35.35061
181,0.85503501,105,181,-0.65432,1.5279,41.5754
181,0.83468157,181,181,-2.43225,1.27373,47.41275
181,0.81557429,181,181,-4.10354,1.0726,52.89268
181,0.79769146,181,181,-5.66932,0.7299,58.02166
181,0.78102636,181,181,-7.12918,0.40104,62.80144
181,0.7654379,181,181,-8.49679,0.36567,67.27209
181,0.75067097,181,181,-9.7917,0.61655,71.50681
181,0.73650503,181,181,-11.03357,0.72374,75.56937
181,0.72276253,181,181,-12.23842,0.77105,79.51055
181,0.70919257,181,181,-13.44994,0.85882,83.40221
181,0.69598955,181,181,-14.64335,0.93347,87.18867
181,0.68312317,181,181,-15.81606,0.98435,90.87859
181,0.67044258,181,181,-16.9788,1.0056,94.5153
181,0.65780044,181,181,-18.14409,0.98815,98.14102
181,0.64513874,181,181,-19.31654,0.93511,101.77241
181,0.63247997,181,181,-20.49417,0.8678,105.40298
181,0.6198675,181,181,-21.67262,0.81268,109.02027
181,0.60733283,181,181,-22.84838,0.78743,112.61522
181,0.59487975,181,181,-24.02,0.79524,116.18671
181,0.58249217,181,181,-25.18775,0.8285,119.73943
181,0.57014787,181,181,-26.35281,0.87437,123.2797
181,0.55783248,181,181,-27.51584,0.91965,126.81171
181,0.54554361,181,181,-28.67658,0.95414,130.33612
181,0.53328723,181,181,-29.83407,0.97205,133.85124
181,0.52107012,181,181,-29.82874,0.97298,137.35532
181,0.50917661,181,181,-28.11908,0.95681,140.76686
181,0.49741307,181,181,-26.46393,0.9315,144.14113
181,0.48586515,181,181,-24.8663,0.90607,147.45352
181,0.47464347,181,181,-23.34324,0.88801,150.67232
181,0.46374142,181,181,-21.89478,0.87941,153.79941
181,0.45314589,181,181,-20.52024,0.87921,156.83855
181,0.44283935,181,181,-19.21821,0.88422,159.79477
181,0.43280125,181,181,-17.98652,0.89055,162.674
181,0.42302674,181,181,-16.80985,0.89621,165.47762
181,0.4135415,181,181,-15.65442,0.90199,168.19824
181,0.4043358,181,181,-14.50946,0.90612,170.83867
181,0.39539,181,181,-13.37084,0.90679,173.40459
181,0.38668659,181,181,-12.2343,0.90356,175.90096
181,0.37816793,181,181,-11.07359,0.89427,178.34438
181,0.36980718,181,181,-9.87247,0.88023,180.74248
181,0.36159694,181,181,-8.62211,0.86462,183.09743
181,0.35357267,181,181,-7.34404,0.86197,185.39902
181,0.34575275,181,181,-6.05205,0.87536,187.64198
181,0.33813205,181,181,-4.7413,0.89793,189.82776
181,0.33069721,181,181,-3.39411,0.92047,191.96025
181,0.32344136,181,181,-1.99215,0.93559,194.04141
181,0.31636888,181,181,-0.52566,0.93997,196.06999
181,0.30949071,181,181,1.00494,0.93336,198.04286
181,0.30281809,181,181,2.59436,0.91861,199.95679
181,0.29636088,181,181,4.23748,0.90023,201.80894
181,0.29012829,181,181,5.93288,0.88251,203.59666
181,0.28413114,181,181,7.68223,0.86852,205.31686
181,0.27838188,181,181,9.48765,0.86021,206.96596
181,0.27289325,181,181,11.34962,0.85881,208.54028
181,0.26767719,181,181,13.26655,0.86444,210.03642
181,0.26274422,181,181,15.23556,0.87586,211.45135
181,0.25810423,181,181,17.2534,0.89099,212.78226
181,0.25376689,181,181,19.31699,0.90688,214.02635
181,0.24974222,181,181,21.42355,0.92103,215.18077
181,0.24604045,181,181,23.57023,0.93144,216.2426
181,0.24267079,181,181,25.75375,0.93703,217.20917
181,0.23964155,181,181,27.97035,0.93804,218.07811
181,0.23695976,181,181,29.69645,0.93512,218.84738
181,0.2348378,181,181,28.58875,0.92551,219.45589
181,0.23333362,181,181,27.63918,0.91098,219.88725
181,0.2323429,181,181,26.83037,0.89516,220.17136
181,0.23175146,181,181,26.1504,0.88138,220.34096
181,0.23149699,181,181,25.58352,0.87157,220.41393
181,0.23154321,181,181,25.1128,0.86657,220.40063
181,0.23185445,181,181,24.72374,0.8658,220.31134
181,0.23239519,181,181,24.40396,0.868,220.15623
181,0.2331304,181,181,24.14299,0.87157,219.94536
181,0.2340261,181,181,23.93211,0.87524,219.68845
181,0.23504984,181,181,23.76419,0.87828,219.39482
181,0.23617098,181,181,23.63354,0.88025,219.07326
181,0.23810995,181,181,23.59648,0.85697,218.5172
181,0.24014191,181,181,23.59253,0.84504,217.93445
181,0.24210069,181,181,23.61143,0.84957,217.37267
181,0.24397366,181,181,23.65335,0.86433,216.83546
181,0.24574979,181,181,23.71898,0.88455,216.32603
181,0.24742442,181,181,23.80658,0.90517,215.84573
181,0.24900448,181,181,23.90751,0.92105,215.39255
181,0.25049627,181,181,24.01499,0.92845,214.96469
181,0.25190556,181,181,24.12403,0.92632,214.56052
181,0.25323743,181,181,24.231,0.91735,214.17856
181,0.25449574,181,181,24.33393,0.90591,213.8177
181,0.25568369,181,181,24.43139,0.89621,213.47702
181,0.25680399,181,181,24.52228,0.89095,213.15573
181,0.25785929,181,181,24.60545,0.89079,212.85307
181,0.25885227,181,181,24.68253,0.89468,212.5683
181,0.25978413,181,181,24.75657,0.90047,212.30103
181,0.26065639,181,181,24.8296,0.906,212.05086
181,0.26147529,181,181,24.89907,0.90997,211.81599
181,0.2622447,181,181,24.9643,0.91181,211.59534
181,0.26297218,181,181,25.02574,0.9114,211.3867
181,0.2638512,181,181,25.09853,0.90889,211.1346
181,0.2649301,181,181,25.18612,0.90575,210.82518
181,0.26620939,181,181,25.28884,0.90363,210.45828
181,0.26768827,181,181,25.4065,0.90295,210.03416
181,0.2693654,181,181,25.53906,0.90394,209.55316
181,0.27123964,181,181,25.68652,0.9057,209.01564
181,0.27330968,181,181,25.84899,0.90735,208.42197
181,0.27557421,181,181,26.02658,0.90853,207.77252
181,0.27803177,181,181,26.21949,0.9086,207.0677
181,0.28068107,181,181,26.42785,0.90782,206.30791
181,0.28352076,181,181,26.65174,0.90632,205.4935
181,0.28654954,181,181,26.89127,0.90448,204.62486
181,0.28976613,181,181,27.14648,0.90287,203.70236
181,0.29316956,181,181,27.41714,0.90193,202.72629
181,0.29675877,181,181,27.70294,0.90157,201.69693
181,0.30053258,181,181,28.00374,0.90191,200.61462
181,0.30448961,181,181,28.31962,0.90264,199.47977
181,0.30862871,181,181,28.65049,0.90345,198.29271
181,0.31294852,181,181,28.99623,0.90427,197.05382
181,0.31744784,181,181,29.35663,0.90494,195.76344
181,0.32212555,181,181,29.73148,0.90542,194.42192
181,0.32698038,181,181,30.12052,0.9056,193.02959
181,0.33201098,181,181,29.88886,0.90555,191.58679
181,0.33690006,181,181,29.88185,0.90509,190.18462
181,0.34156668,181,181,30.01565,0.90429,188.84625
181,0.3461571,181,181,30.23898,0.90343,187.52974
181,0.35087767,181,181,29.88925,0.90287,186.17584
181,0.35547331,181,181,29.88311,0.90279,184.85782
181,0.35987335,181,181,30.0064,0.90235,183.5959
181,0.36424172,181,181,30.20871,0.90209,182.34308
181,0.36875743,181,181,29.95366,0.90229,181.04794
181,0.37314925,181,181,29.94921,0.90281,179.78838
181,0.3774192,181,181,30.02378,0.90347,178.56377
181,0.38166922,181,181,30.13107,0.90404,177.34488
181,0.38610208,181,181,30.24536,0.90435,176.07355
181,0.39072371,181,181,30.34597,0.90439,174.74808
181,0.39553675,181,181,30.41879,0.90421,173.36771
181,0.400538,181,181,30.45305,0.90393,171.93335
181,0.40572193,181,181,30.44033,0.90365,170.44661
181,0.41108152,181,181,30.37535,0.9034,168.90948
181,0.41660848,181,181,30.25594,0.90325,167.32433
181,0.42229781,181,181,30.08543,0.90323,165.69261
181,0.42814684,181,181,29.87317,0.90329,164.01509
181,0.43415546,181,181,29.62971,0.90335,162.29178
181,0.44032669,181,181,29.3636,0.90344,160.52185
181,0.44666252,181,181,29.08078,0.9035,158.7047
181,0.45316377,181,181,28.78493,0.90352,156.8401
181,0.45983019,181,181,28.47829,0.90347,154.92813
181,0.4666611,181,181,28.16231,0.90343,152.96898
181,0.47365534,181,181,27.83771,0.90339,150.963
181,0.48081106,181,181,27.50443,0.90328,148.91068
181,0.48812351,181,181,27.15704,0.90322,146.81342
181,0.49558619,181,181,26.78794,0.90323,144.67308
181,0.50319314,181,181,26.39107,0.90325,142.49135
181,0.5109387,181,181,25.96231,0.90329,140.26984
181,0.51882195,181,181,25.50336,0.90328,138.00885
181,0.52684301,181,181,25.01928,0.90322,135.70831
181,0.53500396,181,181,24.51537,0.90324,133.36768
181,0.54330653,181,181,23.99607,0.90326,130.9864
181,0.55175143,181,181,23.46448,0.90327,128.56432
181,0.56033856,181,181,22.92284,0.90322,126.10142
181,0.56906748,181,181,22.37278,0.90323,123.59786
181,0.57793713,181,181,21.81536,0.90325,121.05395
181,0.58694559,181,181,21.25084,0.90329,118.47019
181,0.59609091,181,181,20.67903,0.90323,115.8472
181,0.60537082,181,181,20.09959,0.90324,113.1856
181,0.61478323,181,181,19.51236,0.90327,110.48598
181,0.62432623,181,181,18.91728,0.90324,107.74892
181,0.63399774,181,181,18.31438,0.90326,104.97498
181,0.64379597,181,181,17.70369,0.90329,102.16472
181,0.65371895,181,181,17.08541,0.90327,99.31865
181,0.66376591,181,181,16.46099,0.90323,96.43703
181,0.6739372,181,181,15.83364,0.90327,93.51976
181,0.68423927,181,181,15.21586,0.90327,90.56494
181,0.69468129,181,181,14.62424,0.90326,87.57003
181,0.70527089,181,181,14.07607,0.90327,84.53278
181,0.71601069,181,181,13.58544,0.90329,81.45245
181,0.72689807,181,181,13.16093,0.90329,78.32981
181,0.73792481,181,181,12.80177,0.90328,75.16723
181,0.7490775,181,181,12.49504,0.9033,71.96851
181,0.76034516,181,181,12.22407,0.90329,68.73682
181,0.77172357,181,181,11.97536,0.90327,65.4734
181,0.78320897,181,181,11.73983,0.90326,62.17927
181,0.79479873,181,181,11.51183,0.90334,58.85522
181,0.80649036,181,181,11.28786,0.90339,55.50196
181,0.81828171,181,181,11.06574,0.90337,52.12011
181,0.83017057,181,181,10.84412,0.90341,48.71027
181,0.84215504,181,181,10.6222,0.90337,45.27299
181,0.85423326,181,181,10.39945,0.9034,41.80883
181,0.86640346,181,181,10.17558,0.90336,38.31832
181,0.87866372,181,181,9.95041,0.90341,34.80197
181,0.89101219,181,181,9.72385,0.9034,31.26031
181,0.90344715,181,181,9.49584,0.90342,27.69382
181,0.91596693,181,181,9.26636,0.90343,24.10303
181,0.92856967,181,181,9.03542,0.90354,20.48841
181,0.94125384,181,181,8.80301,0.90357,16.85046
181,0.9540177,181,181,8.56918,0.90369,13.18966
181,0.96685958,181,181,8.33392,0.9038,9.50648
181,0.97977781,181,181,8.09728,0.90391,5.80139
181,0.99277085,181,181,7.85927,0.90391,2.07486
0,0.05726897,0,181,7.61992,0.90391,-1.67267
0,0.18616952,0,0,7.37926,0.90435,-5.44072
0,0.31575802,0,0,7.13733,0.9045,-9.22887
0,0.44601944,0,0,6.89413,0.90404,-13.03667
0,0.57693911,0,0,6.64972,0.90291,-16.86368
0,0.70850229,0,0,6.4041,0.9011,-20.7095
0,0.84069479,0,0,6.1573,0.89876,-24.57368
0,0.9735024,0,0,5.90936,0.89607,-28.45583
1,0.10658673,1,0,5.57717,0.8932,-32.34595
1,0.23742621,1,1,4.93692,0.89039,-36.17042
1,0.37181202,1,1,4.4298,0.88758,-40.09855
1,0.50632131,1,1,4.01776,0.88477,-44.03029
