Checkpoint number,Checkpoint fraction,CP number branch 1,CP fraction branch 1,CP number branch 2,CP fraction branch 2,Ground checkpoint,Contact checkpoint,Lap index,Lap distance,X,Y,Z,Notes
3,0.18297504,3,0.18297504,3,0.57535416,3,3,0,1156.9043,61.28037,0.90492,-1153.39905,
3,0.25719088,3,0.25719088,3,0.62187487,3,3,0,1161.53772,62.73068,0.90493,-1158.36047,
3,0.33815438,3,0.33815438,3,0.66908616,3,3,0,1166.23999,63.89637,0.90494,-1163.45435,
3,0.42547897,3,0.42547897,3,0.71700495,3,3,0,1171.0127,64.77045,0.90494,-1168.66394,
3,0.51862204,3,0.51862204,3,0.76564866,3,3,0,1175.85754,65.34669,0.90495,-1173.97205,
3,0.61690432,3,0.61690432,3,0.81504524,3,3,0,1180.77747,65.61963,0.9049,-1179.36145,
3,0.71949673,3,0.71949673,3,0.86522788,3,3,0,1185.77563,65.58458,0.90494,-1184.8147,
3,0.82544112,3,0.82544112,3,0.91623557,3,3,0,1190.85608,65.23765,0.90501,-1190.31421,
3,0.93366629,3,0.93366629,3,0.96811378,3,3,0,1196.02307,64.57576,0.90505,-1195.84229,
6,0.00192326,6,0.00192326,6,0.00192326,6,3,0,1201.38098,63.59667,0.90509,-1201.38098,
6,0.02977523,6,0.02977523,6,0.02977523,6,6,0,1206.91235,62.29897,0.90511,-1206.91235,
6,0.05749996,6,0.05749996,6,0.05749996,6,6,0,1212.41846,60.68214,0.90506,-1212.41846,
6,0.08500648,6,0.08500648,6,0.08500648,6,6,0,1217.88123,58.74651,0.90507,-1217.88123,
6,0.1130158,6,0.1130158,6,0.1130158,6,6,0,1223.44385,56.63956,0.90505,-1223.44385,
6,0.14062989,6,0.14062989,6,0.14062989,6,6,0,1228.92798,54.76253,0.90494,-1228.92798,
6,0.16868408,6,0.16868408,6,0.16868408,6,6,0,1234.49951,53.2248,0.90476,-1234.49951,
6,0.19734123,6,0.19734123,6,0.19734123,6,6,0,1240.1908,52.06511,0.90456,-1240.1908,
6,0.22655836,6,0.22655836,6,0.22655836,6,6,0,1245.99329,51.29687,0.90443,-1245.99329,
6,0.2562297,6,0.2562297,6,0.2562297,6,6,0,1251.88599,50.92421,0.90437,-1251.88599,
6,0.28623483,6,0.28623483,6,0.28623483,6,6,0,1257.84497,50.94757,0.90429,-1257.84497,
6,0.31645012,6,0.31645012,6,0.31645012,6,6,0,1263.8457,51.36567,0.90432,-1263.8457,
6,0.34675336,6,0.34675336,6,0.34675336,6,6,0,1269.86389,52.17615,0.9044,-1269.86389,
6,0.37702522,6,0.37702522,6,0.37702522,6,6,0,1275.87585,53.37578,0.90444,-1275.87585,
6,0.40717477,6,0.40717477,6,0.40717477,6,6,0,1281.86353,54.9576,0.90449,-1281.86353,
6,0.43759599,6,0.43759599,6,0.43759599,6,6,0,1287.90515,56.8368,0.90446,-1287.90515,
6,0.46762753,6,0.46762753,6,0.46762753,6,6,0,1293.86938,58.88468,0.90449,-1293.86938,
6,0.49755827,6,0.49755827,6,0.49755827,6,6,0,1299.8136,61.0234,0.9045,-1299.8136,
6,0.52725726,6,0.52725726,6,0.52725726,6,6,0,1305.71179,63.07411,0.90455,-1305.71179,
6,0.55692369,6,0.55692369,6,0.55692369,6,6,0,1311.60352,65.03142,0.9047,-1311.60352,
6,0.58655697,6,0.58655697,6,0.58655697,6,6,0,1317.48865,66.88618,0.90481,-1317.48865,
6,0.61621046,6,0.61621046,6,0.61621046,6,6,0,1323.37781,68.61491,0.90489,-1323.37781,
6,0.64592361,6,0.64592361,6,0.64592361,6,6,0,1329.27881,70.16351,0.90493,-1329.27881,
6,0.67544252,6,0.67544252,6,0.67544252,6,6,0,1335.14124,71.35804,0.90499,-1335.14124,
6,0.70521039,6,0.70521039,6,0.70521039,6,6,0,1341.0531,72.09222,0.90501,-1341.0531,
6,0.73523945,6,0.73523945,6,0.73523945,6,6,0,1347.01685,72.3398,0.90506,-1347.01685,
6,0.76541728,6,0.76541728,6,0.76541728,6,6,0,1353.01013,72.10148,0.90512,-1353.01013,
6,0.79560125,6,0.79560125,6,0.79560125,6,6,0,1359.00464,71.38696,0.90513,-1359.00464,
6,0.82564569,6,0.82564569,6,0.82564569,6,6,0,1364.97144,70.20886,0.90514,-1364.97144,
6,0.85541052,6,0.85541052,6,0.85541052,6,6,0,1370.88269,68.58074,0.90515,-1370.88269,
6,0.88476163,6,0.88476163,6,0.88476163,6,6,0,1376.71179,66.51653,0.90519,-1376.71179,
6,0.91466224,6,0.91466224,6,0.91466224,6,6,0,1382.65002,64.18799,0.90519,-1382.65002,
6,0.94422603,6,0.94422603,6,0.94422603,6,6,0,1388.52136,62.07805,0.90507,-1388.52136,
6,0.97435218,6,0.97435218,6,0.97435218,6,6,0,1394.50439,60.23863,0.90488,-1394.50439,
7,0.06661784,7,0.06661784,7,0.06661784,7,6,0,1400.59729,58.68229,0.90469,-1400.59729,
7,0.47953287,7,0.47953287,7,0.47953287,7,7,0,1406.79102,57.41916,0.90455,-1406.79102,
7,0.89834797,7,0.89834797,7,0.89834797,7,7,0,1413.07324,56.45792,0.90387,-1413.07324,
8,0.02614816,8,0.02614816,8,0.02614816,8,7,0,1419.43018,55.80612,0.90104,-1419.43018,
8,0.06087036,8,0.06087036,8,0.06087036,8,8,0,1425.8468,55.47029,0.89443,-1425.8468,
8,0.09583037,8,0.09583037,8,0.09583037,8,8,0,1432.30737,55.45597,0.88296,-1432.30737,
8,0.13093965,8,0.13093965,8,0.13093965,8,8,0,1438.79553,55.76769,0.86725,-1438.79553,
8,0.16610706,8,0.16610706,8,0.16610706,8,8,0,1445.29443,56.40889,0.85042,-1445.29443,
8,0.20190135,8,0.20190135,8,0.20190135,8,8,0,1451.90918,57.17595,0.83654,-1451.90918,
8,0.23669885,8,0.23669885,8,0.23669885,8,8,0,1458.33972,57.79938,0.82969,-1458.33972,
8,0.27120504,8,0.27120504,8,0.27120504,8,8,0,1464.71643,58.12841,0.82846,-1464.71643,
8,0.30598801,8,0.30598801,8,0.30598801,8,8,0,1471.14429,58.10134,0.82743,-1471.14429,
8,0.34099689,8,0.34099689,8,0.34099689,8,8,0,1477.61389,57.70599,0.81959,-1477.61389,
8,0.37613526,8,0.37613526,8,0.37613526,8,8,0,1484.10742,56.93742,0.79657,-1484.10742,
8,0.41132182,8,0.41132182,8,0.41132182,8,8,0,1490.60986,55.7989,0.74974,-1490.60986,
8,0.44740346,8,0.44740346,8,0.44740346,8,8,0,1497.27771,54.6717,0.68757,-1497.27771,
8,0.48205826,8,0.48205826,8,0.48205826,8,8,0,1503.68188,53.58874,0.60872,-1503.68188,
8,0.51655591,8,0.51655591,8,0.51655591,8,8,0,1510.05701,52.47591,0.50988,-1510.05701,
8,0.55098146,8,0.55098146,8,0.55098146,8,8,0,1516.41882,51.34279,0.39379,-1516.41882,
8,0.5853067,8,0.5853067,8,0.5853067,8,8,0,1522.76208,50.26039,0.26852,-1522.76208,
8,0.61960286,8,0.61960286,8,0.61960286,8,8,0,1529.09998,49.24043,0.1381,-1529.09998,
8,0.65392607,8,0.65392607,8,0.65392607,8,8,0,1535.44287,48.29523,0.00667,-1535.44287,
8,0.6883226,8,0.6883226,8,0.6883226,8,8,0,1541.79932,47.43745,-0.12192,-1541.79932,
8,0.72282815,8,0.72282815,8,0.72282815,8,8,0,1548.1759,46.68002,-0.24307,-1548.1759,
8,0.75746775,8,0.75746775,8,0.75746775,8,8,0,1554.57727,46.03593,-0.35246,-1554.57727,
8,0.79225868,8,0.79225868,8,0.79225868,8,8,0,1561.00659,45.51817,-0.44489,-1561.00659,
8,0.82720745,8,0.82720745,8,0.82720745,8,8,0,1567.46509,45.13971,-0.51632,-1567.46509,
8,0.86231142,8,0.86231142,8,0.86231142,8,8,0,1573.95227,44.91325,-0.56233,-1573.95227,
8,0.89756012,8,0.89756012,8,0.89756012,8,8,0,1580.46619,44.85112,-0.57875,-1580.46619,
8,0.93293363,8,0.93293363,8,0.93293363,8,8,0,1587.00317,44.96515,-0.56196,-1587.00317,
8,0.96840554,8,0.96840554,8,0.96840554,8,8,0,1593.55835,45.26668,-0.50898,-1593.55835,
10,0.00229312,10,0.00229312,10,0.00228898,10,8,0,1600.13647,45.74745,-0.42018,-1600.13513,
10,0.11072671,10,0.11072671,10,0.11071672,10,10,0,1606.93127,46.37317,-0.3065,-1606.74695,
10,0.21960908,10,0.21960908,10,0.21959214,10,10,0,1613.75403,46.92697,-0.19299,-1613.42554,
10,0.33478305,10,0.33478305,10,0.33476108,10,10,0,1620.97119,47.27889,0.0067,-1620.52698,
10,0.45375094,10,0.45375094,10,0.45372424,10,10,0,1628.42615,47.45443,0.58112,-1627.86279,
10,0.57738626,10,0.57738626,10,0.57735503,10,10,0,1636.17358,47.45267,1.53795,-1635.4563,
10,0.70645952,10,0.70645952,10,0.70642483,10,10,0,1644.26184,47.32889,2.756,-1643.3446,
10,0.84146816,10,0.84146816,10,0.84142798,10,10,0,1652.72192,47.11657,4.27083,-1651.5282,
10,0.98302716,10,0.98302716,10,0.98298174,10,10,0,1661.59253,46.85211,6.12682,-1660.00562,
11,0.25981125,11,0.25981125,11,0.25971082,11,10,0,1670.81079,46.55721,8.42879,-1668.74524,
11,0.56406713,11,0.56406713,11,0.56395817,11,11,0,1680.3606,46.2716,11.17737,-1677.72534,
11,0.87962204,11,0.87962204,11,0.87950295,11,11,0,1690.26489,46.02874,14.40691,-1686.90942,
12,0.20634335,12,0.20634335,12,0.20621563,12,11,0,1700.52148,45.85647,18.16241,-1696.24609,
12,0.54232031,12,0.54232031,12,0.54218501,12,12,0,1711.06995,45.7764,22.49138,-1705.67224,
12,0.88777262,12,0.88777262,12,0.88763511,12,12,0,1721.91602,45.80231,27.428,-1715.11584,
13,0.1220512,13,0.1220512,13,0.12197664,13,12,0,1733.08777,45.9522,32.98763,-1724.51465,
13,0.30352843,13,0.30352843,13,0.30344987,13,13,0,1744.45996,46.24162,39.1895,-1733.80481,
13,0.48801407,13,0.48801407,13,0.48793244,13,13,0,1756.02075,46.68514,46.04801,-1742.90051,
13,0.67603445,13,0.67603445,13,0.67594826,13,13,0,1767.80298,47.28924,53.5751,-1751.71777,
13,0.86821783,13,0.86821783,13,0.86812913,13,13,0,1779.84619,48.04639,61.77387,-1760.16833,
14,0.05228086,14,0.05228086,14,0.05220561,14,13,0,1792.19336,48.93724,70.63531,-1768.1593,
14,0.21172351,14,0.21172351,14,0.21164045,14,14,0,1804.66406,49.94939,80.13165,-1775.61133,
14,0.37193611,14,0.37193611,14,0.37184516,14,14,0,1817.19495,51.06738,90.23005,-1782.45007,
14,0.53362447,14,0.53362447,14,0.53352493,14,14,0,1829.84131,52.26731,100.89034,-1788.60022,
14,0.69754452,14,0.69754452,14,0.69743741,14,14,0,1842.66211,53.51697,112.06174,-1793.98938,
14,0.86453539,14,0.86453539,14,0.86441982,14,14,0,1855.72314,54.779,123.68303,-1798.55261,
15,0.17474823,15,0.17474823,15,0.1741409,15,14,0,1869.06238,56.01038,135.68781,-1802.23108,
16,0.01499103,16,0.01499103,16,0.01467385,16,15,0,1882.49084,56.05124,147.58589,-1805.8717,
16,0.44609764,16,0.44609764,16,0.44577879,16,16,0,1896.02747,54.19612,159.08864,-1810.2644,
16,0.87781197,16,0.87781197,16,0.87749398,16,16,0,1909.58337,52.31798,170.79916,-1814.05298,
17,0.62225723,17,0.62225723,17,0.62162149,17,16,0,1923.18945,50.39083,182.6953,-1817.20215,
18,0.12334906,18,0.12334906,18,0.12318934,18,17,0,1936.84961,48.43178,194.73132,-1819.7229,
18,0.340437,18,0.340437,18,0.34027818,18,18,0,1950.45349,46.46301,206.87064,-1821.61743,
18,0.55682337,18,0.55682337,18,0.55666608,18,18,0,1964.01355,44.49263,219.07974,-1822.88281,
18,0.77375162,18,0.77375162,18,0.77359688,18,18,0,1977.60742,42.50947,231.3257,-1823.50989,
18,0.99251032,18,0.99251032,18,0.99235904,18,18,0,1991.31616,40.51289,243.57573,-1823.49841,
19,0.21154824,19,0.21154824,19,0.21140127,19,18,0,2005.04272,38.50133,255.79526,-1822.85498,
19,0.42893618,19,0.42893618,19,0.428794,19,19,0,2018.66577,36.51814,267.95178,-1821.57739,
19,0.64598823,19,0.64598823,19,0.64585108,19,19,0,2032.26782,34.56121,280.01517,-1819.67468,
19,0.85540795,19,0.85540795,19,0.85527658,19,19,0,2045.39172,32.69235,291.48849,-1817.26208,
20,0.25304785,20,0.25304785,20,0.25255096,20,19,0,2058.42651,30.86374,302.66919,-1814.32471,
21,0.03733891,21,0.03733891,21,0.03710642,21,20,0,2071.32813,29.08505,313.60147,-1810.87329,
21,0.44653103,21,0.44653103,21,0.44630468,21,21,0,2084.17529,27.34534,324.3038,-1806.89929,
21,0.85413682,21,0.85413682,21,0.85391706,21,21,0,2096.97266,25.64248,334.7561,-1802.41431,
22,0.10564983,22,0.10564983,22,0.10556495,22,21,0,2109.81616,23.96811,344.93698,-1797.4325,
22,0.25975344,22,0.25975344,22,0.259682,22,22,0,2121.87109,17.93197,355.23306,-1793.85474,
22,0.35217276,22,0.35217276,22,0.35210982,22,22,0,2129.10083,13.48816,360.81467,-1790.48865,
22,0.41012201,22,0.41012201,22,0.41006458,22,22,0,2133.63403,10.01604,363.69409,-1787.38708,
22,0.44731224,22,0.44731224,22,0.44725841,22,22,0,2136.54321,7.198,364.95496,-1784.5343,
22,0.48911458,22,0.48911458,22,0.48906219,22,22,0,2139.81299,5.22259,365.15878,-1779.6123,
22,0.52009946,22,0.52009946,22,0.52004671,22,22,0,2142.23657,3.77838,364.31433,-1774.63831,
22,0.53823364,22,0.53823364,22,0.53818005,22,22,0,2143.65503,2.5132,362.55219,-1769.9823,
22,0.55075496,22,0.55075496,22,0.55070025,22,22,0,2144.63428,1.20913,360.4487,-1765.56311,
22,0.55890882,22,0.55890882,22,0.55885351,22,22,0,2145.27637,-0.1744,358.13562,-1761.38721,
22,0.5626151,22,0.5626151,22,0.56255889,22,22,0,2145.56616,-1.65206,355.65823,-1757.49182,
22,0.56112033,22,0.56112033,22,0.56106418,22,22,0,2145.44946,-3.24541,353.02057,-1753.92578,
22,0.55383545,22,0.55383545,22,0.55377859,22,22,0,2144.87964,-4.9638,350.22995,-1750.72168,
22,0.54044783,22,0.54044783,22,0.54039109,22,22,0,2143.83228,-6.79941,347.30026,-1747.89258,
22,0.52083623,22,0.52083623,22,0.52077985,22,22,0,2142.29834,-8.73325,344.24738,-1745.43799,
22,0.49499381,22,0.49499381,22,0.4949373,22,22,0,2140.2771,-10.74135,341.08643,-1743.34937,
22,0.46297598,22,0.46297598,22,0.46292001,22,22,0,2137.77271,-12.7987,337.83096,-1741.61499,
22,0.42528716,22,0.42528716,22,0.42523158,22,22,0,2134.82471,-14.8708,334.49634,-1740.18762,
22,0.38232782,22,0.38232782,22,0.38227236,22,22,0,2131.46436,-16.93199,331.09256,-1739.02722,
22,0.33436617,22,0.33436617,22,0.33431095,22,22,0,2127.71289,-18.9641,327.62582,-1738.10425,
22,0.2815814,22,0.2815814,22,0.28152546,22,22,0,2123.58398,-20.95372,324.10004,-1737.39648,
22,0.22410749,22,0.22410749,22,0.22405139,22,22,0,2119.08862,-22.89009,320.51773,-1736.88574,
22,0.16206193,22,0.16206193,22,0.16200522,22,22,0,2114.23535,-24.76406,316.88055,-1736.5553,
22,0.09555972,22,0.09555972,22,0.09550242,22,22,0,2109.03369,-26.56763,313.18967,-1736.38843,
22,0.02474179,22,0.02474179,22,0.02468296,22,22,0,2103.49438,-28.29397,309.44574,-1736.36511,
21,0.87771732,21,0.87771732,21,0.87756771,22,22,0,2097.71997,-29.93793,305.65036,-1736.4126,
21,0.68960953,21,0.68960953,21,0.68945795,22,22,0,2091.81396,-31.49547,301.81174,-1736.42371,
21,0.49933037,21,0.49933037,21,0.49917412,22,22,0,2085.84009,-32.95896,297.94794,-1736.2998,
21,0.31054473,21,0.31054473,21,0.31038338,22,22,0,2079.91284,-34.24421,294.13708,-1736.02795,
21,0.12285464,21,0.12285464,21,0.12268488,22,22,0,2074.02026,-35.43453,290.33664,-1735.48291,
20,0.87302154,20,0.87302154,20,0.87265933,22,22,0,2068.16919,-36.52542,286.56403,-1734.65759,
20,0.50427955,20,0.50427955,20,0.50388157,22,22,0,2062.37915,-37.51162,282.83627,-1733.55444,
20,0.13826123,20,0.13826123,20,0.13782004,22,22,0,2056.63184,-38.41343,279.15097,-1732.14148,
19,0.94298601,19,0.94298601,19,0.94286442,22,22,0,2050.88818,-39.22866,275.51733,-1730.42676,
19,0.85170966,19,0.85170966,19,0.85157591,22,22,0,2045.16821,-39.94639,271.94846,-1728.43445,
19,0.76079214,19,0.76079214,19,0.76064461,22,22,0,2039.4707,-40.55497,268.45654,-1726.19189,
19,0.66989475,19,0.66989475,19,0.66973174,22,22,0,2033.77466,-41.04466,265.05109,-1723.72546,
19,0.57862788,19,0.57862788,19,0.57844931,22,22,0,2028.0553,-41.40836,261.73828,-1721.05981,
19,0.48655751,19,0.48655751,19,0.48635975,22,22,0,2022.28564,-41.64103,258.52151,-1718.21777,
19,0.39319053,19,0.39319053,19,0.39297205,22,22,0,2016.43469,-41.73933,255.40189,-1715.22083,
19,0.29798543,19,0.29798543,19,0.29774278,22,22,0,2010.46851,-41.70116,252.37878,-1712.08862,
19,0.2003531,19,0.2003531,19,0.20008425,22,22,0,2004.35034,-41.52516,249.45065,-1708.83923,
19,0.0996456,19,0.0996456,19,0.09934673,22,22,0,1998.03943,-41.21063,246.61502,-1705.48865,
18,0.99516213,18,0.99516213,18,0.99482977,22,22,0,1991.49182,-40.75694,243.86929,-1702.05127,
18,0.8869462,18,0.8869462,18,0.88657844,22,22,0,1984.71057,-40.16327,241.21103,-1698.53979,
18,0.7749449,18,0.7749449,18,0.77453846,22,22,0,1977.69189,-39.42869,238.63771,-1694.96509,
18,0.65843999,18,0.65843999,18,0.65799022,22,22,0,1970.39111,-38.55177,236.14731,-1691.33716,
18,0.53663605,18,0.53663605,18,0.53613728,22,22,0,1962.7583,-37.5307,233.73787,-1687.66455,
18,0.40865844,18,0.40865844,18,0.40810734,22,22,0,1954.73865,-36.36319,231.40791,-1683.95557,
18,0.27353686,18,0.27353686,18,0.27292573,22,22,0,1946.27124,-35.04633,229.15634,-1680.21765,
18,0.13016491,18,0.13016491,18,0.12948446,22,22,0,1937.28674,-33.57674,226.98228,-1676.45801,
17,0.90998989,17,0.90998989,17,0.9069984,22,22,0,1927.7168,-31.95069,224.88516,-1672.68372,
17,0.26556006,17,0.26556006,17,0.2622557,22,22,0,1917.59937,-30.16409,222.86458,-1668.90186,
16,0.79067725,16,0.79067725,16,0.7888509,22,22,0,1906.8573,-28.21268,220.92027,-1665.12,
16,0.42822048,16,0.42822048,16,0.42620653,22,22,0,1895.4762,-26.09198,219.05215,-1661.34583,
16,0.04301726,16,0.04301726,16,0.0408021,22,22,0,1883.38074,-23.79749,217.26015,-1657.5874,
15,0.26810309,15,0.26810309,15,0.26322174,22,22,0,1870.53772,-21.32477,215.54459,-1653.85376,
14,0.87932992,14,0.87932992,14,0.87825686,22,22,0,1856.8894,-18.66936,213.90552,-1650.15405,
14,0.69703633,14,0.69703633,14,0.69587725,22,22,0,1842.63074,-15.8274,212.34317,-1646.49829,
14,0.50724101,14,0.50724101,14,0.50599676,22,22,0,1827.7854,-12.79512,210.85776,-1642.89709,
14,0.30953652,14,0.30953652,14,0.30820435,22,22,0,1812.32129,-9.56942,209.44958,-1639.36182,
14,0.10362148,14,0.10362148,14,0.10218452,22,22,0,1796.21509,-6.14772,208.11897,-1635.90442,
13,0.86380023,13,0.86380023,13,0.86190367,22,22,0,1779.57495,-2.52805,206.86589,-1632.53723,
13,0.59764439,13,0.59764439,13,0.59565997,22,22,0,1762.77161,1.29032,205.69063,-1629.27356,
13,0.33236447,13,0.33236447,13,0.33028555,22,22,0,1746.1416,5.30782,204.59325,-1626.12683,
13,0.06918894,13,0.06918894,13,0.0670173,22,22,0,1729.64368,9.52337,203.57385,-1623.11133,
12,0.62575173,12,0.62575173,12,0.6213336,22,22,0,1713.55493,13.93521,202.63264,-1620.24158,
12,0.13655123,12,0.13655123,12,0.13204697,22,22,0,1698.19287,18.54051,201.76959,-1617.53235,
11,0.67428643,11,0.67428643,11,0.66976416,22,22,0,1683.68152,23.33521,200.98462,-1614.99866,
11,0.24660991,11,0.24660991,11,0.24209243,22,22,0,1670.25781,28.31391,200.2774,-1612.65552,
10,0.92782342,10,0.92782342,10,0.92564434,22,22,0,1657.99951,33.46996,199.64757,-1610.51794,
10,0.75382316,10,0.75382316,10,0.75185859,22,22,0,1647.10901,38.7954,199.09454,-1608.60059,
10,0.60320038,10,0.60320038,10,0.60141474,22,22,0,1637.68127,44.28073,198.61812,-1606.91833,
10,0.47634798,10,0.47634798,10,0.47472477,22,22,0,1629.74219,49.91564,198.21812,-1605.48596,
10,0.37377736,10,0.37377736,10,0.37227643,22,22,0,1623.32214,55.68824,197.89427,-1604.3175,
10,0.29607585,10,0.29607585,10,0.29466411,22,22,0,1618.4585,61.58595,197.6459,-1603.42651,
10,0.23168811,10,0.23168811,10,0.23036125,22,22,0,1614.42883,67.67719,197.25963,-1602.6947,
10,0.123268,10,0.123268,10,0.12209338,22,22,0,1607.64417,73.53487,196.2923,-1601.45093,
9,0.39808652,9,0.39808652,9,0.39005503,22,22,0,1599.62952,78.95045,194.88101,-1599.63062,
8,0.98840785,8,0.98840785,8,0.98840785,22,22,0,1597.25476,83.98027,193.03275,-1597.25476,
8,0.97245938,8,0.97245938,8,0.97245938,22,22,0,1594.3075,88.56239,190.82187,-1594.3075,
8,0.95358396,8,0.95358396,8,0.95358396,22,22,0,1590.81934,92.67843,188.32173,-1590.81934,
8,0.93229949,8,0.93229949,8,0.93229949,22,22,0,1586.88599,96.38302,185.59157,-1586.88599,
8,0.90918922,8,0.90918922,8,0.90918922,22,22,0,1582.61523,99.69957,182.7281,-1582.61523,
8,0.88461584,8,0.88461584,8,0.88461584,22,22,0,1578.0741,102.62874,179.80429,-1578.0741,
8,0.85877216,8,0.85877216,8,0.85877216,22,22,0,1573.29822,105.15833,176.86969,-1573.29822,
8,0.83177519,8,0.83177519,8,0.83177519,22,22,0,1568.3092,107.27036,173.96317,-1568.3092,
8,0.80372858,8,0.80372858,8,0.80372858,22,22,0,1563.12622,108.94754,171.11862,-1563.12622,
