Checkpoint,Center X,Center Y,Center Z,Right X,Right Y,Right Z,Track width,True width,Notes
57,600.00018,52.961,-875.53485,-1,0,0,348.496,110,
58,600.00018,55.15219,-863.48169,-1,0,0,348.496,110,
59,600.00018,57.81357,-851.5332,-1,0,0,348.496,110,
60,600.00018,60.93543,-839.73724,-1,0,0,348.496,110,
61,600.00018,64.50309,-828.14014,-1,0,0,348.496,110,
62,600.00018,68.52076,-816.70148,-1,0,0,348.496,110,
63,600.00018,72.96445,-805.495,-1,0,0,348.496,110,
64,600.00018,77.84122,-794.48096,-1,0,0,348.496,110,
65,600.00018,83.12156,-783.73065,-1,0,0,348.496,110,
66,600.00018,88.81581,-773.20508,-1,0,0,348.496,110,
67,600.00018,94.90221,-762.9469,-1,0,0,348.496,110,
68,600.00018,101.35423,-752.99548,-1,0,0,348.496,110,
69,600.00018,108.18673,-743.31409,-1,0,0,348.496,110,
70,600.00018,115.37322,-733.94177,-1,0,0,348.496,110,
71,600.00018,122.88318,-724.91449,-1,0,0,348.496,110,
72,600.00018,130.73515,-716.19733,-1,0,0,348.496,110,
73,600.00018,138.8804,-707.8476,-1,0,0,348.496,110,
74,600.00018,147.33977,-699.83209,-1,0,0,348.496,110,
75,600.00006,155.95665,-692.11298,-1,0,0,348.496,110,
76,600.00006,274.97223,-556.7052,-1,0,0,348.496,110,
76,600.06519,200,-480.01648,-1,0,-0.00019,60,,
77,600,249.99997,-199.99997,-1,0,0,60,,
78,598.46179,249.99997,-180.45039,-0.98769,0,-0.1564,60,,
79,593.88501,249.99997,-161.38196,-0.95108,0,-0.30894,60,,
80,586.37689,249.99997,-143.25331,-0.89102,0,-0.45397,60,,
81,576.13135,249.99997,-126.53265,-0.80905,0,-0.58774,60,,
82,563.39679,249.99997,-111.62011,-0.70717,0,-0.70704,60,,
83,548.47699,249.99997,-98.87569,-0.58782,0,-0.80899,60,,
84,531.75732,249.99997,-88.62853,-0.45406,0,-0.89097,60,,
85,513.62939,249.99997,-81.11868,-0.30904,0,-0.95105,60,,
86,494.56137,249.99997,-76.54008,-0.15649,0,-0.98768,60,,
87,474.99869,250,-75.00002,0.0001,0,-1,60,,
88,400.00067,250,-75.00002,0.0001,0,-1,60,,
88,299.99942,199.99997,-75.00005,0,0,-1,60,,
89,253.65784,199.99997,-67.66187,-0.30894,0,-0.95108,60,,
90,211.83871,199.99997,-46.35726,-0.58774,0,-0.80905,60,,
91,178.65048,199.99997,-13.17192,-0.80899,0,-0.58782,60,,
92,157.34225,199.99997,28.64534,-0.95105,0,-0.30904,60,,
93,150.00005,199.99997,74.9863,-1,0,-0.0001,60,,
94,157.33823,199.99997,121.34226,-0.95108,0,0.30894,60,,
95,178.64284,199.99997,163.16138,-0.80905,0,0.58774,60,,
96,211.82817,199.99997,196.34961,-0.58782,0,0.80899,60,,
97,253.64545,199.99997,217.65784,-0.30904,0,0.95105,60,,
98,300.00076,199.99997,225.00005,0,0,1,60,,
98,400.00049,150,225.02887,0.0001,0,1,60,,"Jump plates at CP fractions 0.708, 0.796, 0.883"
99,969.99817,150,224.97421,0.0001,0,1,90,,
100,992.22968,150,224.98749,-0.44275,0,0.89665,100.386,,
101,1014.99957,150,224.98529,-0.70697,0,0.70724,127.279,,
102,1014.99951,150,249.83821,-0.91257,0,0.40892,98.64,,
103,1014.99957,150,270,-1,0,0.0001,90,,
104,1015.00006,150,489.99866,-1,0,0,60,,
104,1015,100,550.00018,-1,0,0,60,,
105,1015,100,769.99957,-1,0,0,90,,
106,1015.00018,99.99998,792.22278,-0.89665,0,-0.44275,100.38,,
107,1015.00018,99.99998,814.99957,-0.70717,0,-0.70704,127.279,,
108,990.14343,99.99998,814.98767,-0.40866,0,-0.91269,98.625,,
109,969.99988,99.99998,814.98969,-0.00019,0,-1,90,,Start of ice
110,856.00043,100,814.98907,0.0001,0,-1,84,,
111,731.74084,100,814.97717,0.0001,0,-1,77.46,,
112,624.5802,100,814.96698,0.0001,0,-1,71.82,,
113,507.16043,100,814.95575,0.0001,0,-1,65.64,,
114,400.00003,100,815,0,0,-1,60,,End of ice
115,376.54053,100,816.84576,-0.1564,0,-0.98769,60,,
116,353.65842,100,822.33795,-0.30894,0,-0.95108,60,,
117,331.90402,100,831.34772,-0.45397,0,-0.89102,60,,
118,311.8392,100,843.6424,-0.58774,0,-0.80905,60,,
119,293.93402,100,858.93402,-0.70711,0,-0.70711,60,,
120,278.65085,100,876.82758,-0.80899,0,-0.58782,60,,
121,266.35428,100,896.89117,-0.89097,0,-0.45406,60,,
122,257.34241,100,918.64471,-0.95105,0,-0.30904,60,,
123,251.84813,100,941.52637,-0.98768,0,-0.15649,60,,
124,250.00005,100,964.98566,-1,0,-0.0001,60,,
124,300.00012,-499.99997,1250.00049,-1,0,0,120,,Bottom path; no top path version
125,300.00012,-499.99997,1310.00049,-1,0,0,120,,Bottom path; top path starts at CP fraction 0.657
126,300.00012,-499.99997,1370.90076,-1,0,0,120,,Bottom path
127,300.00012,-499.99997,1489.99963,-1,0,0,120,,Bottom path
128,300.00015,-500,1550.00012,-1,0,0,120,,Bottom path
129,290.1915,-497.20001,1619.90186,-0.95108,0,-0.30894,120,,Bottom path
130,272.30618,-492.48108,1665.01904,-0.86392,0,-0.50362,120,,Bottom path
131,260.82285,-489.59991,1684.99207,-0.80905,0,-0.58774,120,,Bottom path
132,212.97237,-478.39938,1739.88757,-0.58782,0,-0.80899,120,,Bottom path
133,149.42795,-464.80008,1779.05127,-0.30904,0,-0.95105,120,,Bottom path
134,74.99983,-449.99985,1797.50024,0,0,-1,120,,Bottom path
135,-3.52143,-435.19989,1791.72668,0.30894,0,-0.95108,120,,Bottom path
136,-77.97684,-421.6001,1760.57971,0.58774,0,-0.80905,120,,Bottom path
137,-139.64241,-410.40063,1705.95923,0.80899,0,-0.58782,120,,Bottom path
138,-180.58556,-402.79993,1633.05017,0.95105,0,-0.30904,120,,Bottom path
139,-195.00014,-400,1550.02576,1,0,-0.0001,120,,Bottom path
140,-195.00014,-400,1500.00012,1,0,0,120,,Bottom path
126,250.00073,-299.99905,1370.90015,-1,0,0,60,,Top path
127,250.00073,-299.99905,1489.99988,-1,0,0,60,,Top path
128,250.00073,-299.99905,1549.99976,-1,0,0,60,,Top path
129,241.63927,-295.79999,1604.13013,-0.95108,0,-0.30894,59.58,,Top path
130,226.67444,-288.7218,1638.41785,-0.86392,0,-0.50362,58.872,,Top path
131,217.21541,-284.40002,1653.31287,-0.80905,0,-0.58774,58.44,,Top path
132,178.82048,-267.60004,1692.88489,-0.58782,0,-0.80899,56.76,,Top path
133,129.89729,-247.19977,1718.94495,-0.30904,0,-0.95105,54.72,,Top path
134,75.00015,-224.99699,1728.75049,0,0,-1,52.5,,Top path
135,19.43342,-202.80154,1721.06152,0.30894,0,-0.95108,50.28,,Top path
136,-31.31018,-182.3998,1696.34131,0.58774,0,-0.80905,48.24,,Top path
137,-72.01053,-165.59973,1656.81812,0.80899,0,-0.58782,46.56,,Top path
138,-98.3671,-154.19995,1606.33423,0.95105,0,-0.30904,45.42,,Top path
139,-107.50013,-150,1550.00024,1,0,0,45,,Top path
140,-107.50013,-150,1500.00037,1,0,0,45,,Top path; path ends at CP fraction 0.0 here
141,-203.84036,-392.59235,1449.99939,1,0,0,124.16,,Bottom path
142,-223.72023,-374.07385,1399.99976,1,0,0,134.08,,
143,-244.67984,-350.00021,1350.00061,0.99975,-0.02253,0,145.92,,
144,-256.76001,-325.92593,1300.00024,0.99791,-0.06457,0,155.84,,
145,-257.23685,-321.1814,1289.00024,0.99737,-0.07251,0,157.383,,
146,-250.0006,-307.40771,1250.00159,0.9962,-0.08713,0,160,,
147,-235.10362,-301.96777,1225.00146,0.99382,-0.08203,0.07481,159.674,,
148,-211.52205,-299.99994,1200.00195,0.96514,-0.06673,0.2531,158.726,,
149,-181.66771,-300.11633,1175.00024,0.88708,-0.04401,0.45952,157.2,,
150,-147.96198,-300.40167,1150.00159,0.78096,-0.02015,0.62426,155.141,,
151,-112.81174,-300.76056,1124.99963,0.71049,0,0.70371,152.593,,
152,-104.43104,-300.84698,1119.00012,0.70709,0.00441,0.70711,151.913,,
153,-78.6394,-301.09738,1099.99963,0.74379,0.01919,0.66814,149.6,,
154,-47.85745,-301.31659,1075.00012,0.85529,0.04243,0.5164,146.207,,
155,-22.87959,-301.32275,1049.99963,0.95323,0.06591,0.29496,142.459,,
156,-6.12287,-301.02023,1025.00085,0.99263,0.08193,0.08924,138.4,,
157,0,-300.31357,1000.00037,0.9962,0.08713,0,134.074,,
158,-8.30913,-297.30551,950.00006,0.99762,0.06897,0,124.8,,
159,-28.12348,-291.53433,899.99963,0.99967,0.02579,0,114.993,,
160,-51.77238,-282.23596,850.00024,0.99967,-0.02579,0,105.007,,
161,-71.58655,-268.6459,800.00037,0.99762,-0.06897,0,95.2,,
162,-79.89585,-249.99989,750.00012,0.9962,-0.08713,0,85.926,,
163,-71.58664,-210.28543,699.99988,0.99695,-0.07806,0,77.541,,
164,-67.23184,-195.2666,686.99994,0.99731,-0.07328,0,75.55,,Start of refiller
165,-51.77265,-146.57164,650.00037,0.99841,-0.05644,0,70.4,,
166,-28.12327,-77.71387,599.99994,0.99953,-0.03067,0,64.859,,
167,-8.30915,-22.57126,549.99994,0.99996,-0.00901,0,61.274,,
168,-7.40973,-20.11055,546.99994,0.99997,-0.00805,0,61.129,,
169,0,0,500.00031,1,0,0,60,,
,,,,,,,,,
,,,,,,,,,
